customer_id,company_name,industry,company_size,country,signup_date
1001,"Porter, Williams and Carter",Marketing,Medium,Pakistan,11/11/2024
1002,Thomas-Mclaughlin,Education,Medium,South Africa,7/8/2025
1003,"Alvarez, Blackwell and Galvan",Consulting,Startup,Germany,5/7/2026
1004,"Mclaughlin, Williams and May",Retail,Startup,Singapore,1/14/2024
1005,"Deleon, Wells and Randolph",Marketing,Small,France,12/16/2025
1006,"Haynes, Ruiz and Smith",Media,Enterprise,Canada,2/1/2023
1007,Carter-Copeland,Finance,Small,Netherlands,8/23/2023
1008,"Riley, Lopez and Wilson",Marketing,Medium,Mexico,10/25/2025
1009,Glover-Cox,Consulting,Small,South Africa,8/31/2025
1010,Lee-Durham,Retail,Small,USA,2/5/2023
1011,"West, Hoffman and Booker",Education,Startup,UAE,7/7/2022
1012,Brown-Payne,Consulting,Startup,Netherlands,8/15/2025
1013,Ewing LLC,Consulting,Large,Canada,3/1/2026
1014,Edwards Inc,Finance,Medium,Australia,1/29/2025
1015,King Ltd,Manufacturing,Small,USA,8/14/2025
1016,Williams-Meyer,Retail,Large,USA,12/17/2023
1017,Haley Ltd,Healthcare,Startup,UAE,1/12/2023
1018,Richardson-Thomas,Consulting,Enterprise,Germany,5/10/2025
1019,"Nelson, Keller and Chapman",Manufacturing,Small,UAE,9/21/2022
1020,Bryan-Dean,Healthcare,Small,Brazil,8/26/2023
1021,Morris Ltd,Retail,Small,France,5/11/2025
1022,"Sandoval, Nixon and Morales",Technology,Startup,India,3/29/2025
1023,Estrada-Thomas,Media,Startup,USA,1/1/2026
1024,"Castro, Parks and Clayton",Manufacturing,Medium,Australia,3/29/2026
1025,"Bradford, Reeves and Maldonado",Logistics,Large,Pakistan,3/28/2024
1026,"Anderson, Robbins and Elliott",Technology,Large,Japan,9/6/2022
1027,"Mckenzie, Crawford and Reed",Media,Startup,USA,10/1/2025
1028,Hendrix-Carpenter,Finance,Small,UAE,11/30/2022
1029,Gardner-Conway,Marketing,Startup,UK,5/11/2025
1030,English-Thomas,Education,Startup,USA,3/5/2025
1031,Miller Group,Logistics,Medium,USA,7/9/2023
1032,"Luna, Ortega and Barrera",Finance,Small,South Africa,9/13/2022
1033,"Young, Hamilton and Kelley",Retail,Startup,Japan,5/24/2024
1034,Padilla-Frank,Finance,Startup,Brazil,10/10/2024
1035,Price Ltd,Marketing,Enterprise,Australia,6/3/2024
1036,Blackburn Inc,Retail,Startup,Brazil,3/21/2025
1037,Pierce-Morris,Logistics,Small,Australia,11/24/2022
1038,Phillips Group,Marketing,Small,USA,9/24/2022
1039,Martinez Inc,Healthcare,Startup,Japan,2/12/2024
1040,Leach-Jones,Education,Startup,Japan,8/1/2024
1041,Farmer Group,Logistics,Small,UK,8/10/2023
1042,Young-Martinez,Healthcare,Large,India,10/8/2025
1043,Fox and Sons,Media,Small,Singapore,11/13/2024
1044,"Paul, Vazquez and Coleman",Logistics,Medium,UK,9/24/2025
1045,Greene-Miller,Media,Enterprise,UK,10/6/2025
1046,Schwartz Group,Retail,Large,UK,8/3/2024
1047,Lopez-Collins,Healthcare,Small,Mexico,10/12/2022
1048,"Chan, Perez and Walker",Education,Small,India,3/20/2023
1049,Joseph Group,Marketing,Medium,Germany,10/31/2024
1050,"Watts, Yates and Strickland",Consulting,Medium,Germany,1/6/2025
1051,Wallace-Smith,Finance,Small,UK,12/24/2024
1052,"Vargas, Garner and Hernandez",Technology,Medium,Singapore,8/11/2022
1053,"Johnson, Brown and Charles",Education,Startup,Brazil,2/13/2026
1054,Schmidt PLC,Healthcare,Small,UAE,5/1/2025
1055,Oconnor-Le,Consulting,Small,Canada,9/19/2023
1056,"Ochoa, Bonilla and Garza",Education,Startup,Germany,8/2/2023
1057,"Brown, Strickland and Davis",Healthcare,Startup,Pakistan,8/30/2022
1058,Hanson Group,Manufacturing,Medium,Australia,8/2/2023
1059,Poole Inc,Manufacturing,Small,Japan,1/16/2026
1060,"Hayes, Zhang and Bond",Media,Small,India,5/5/2025
1061,Gray and Sons,Education,Small,South Africa,9/18/2023
1062,"Clark, Mahoney and Nelson",Manufacturing,Small,India,2/9/2025
1063,Weeks Inc,Healthcare,Startup,Canada,7/14/2024
1064,Martinez-Rodriguez,Media,Medium,Germany,3/6/2025
1065,Long LLC,Healthcare,Large,Singapore,12/7/2025
1066,Bowman-Carey,Media,Large,Singapore,4/9/2026
1067,"Lynch, Chandler and Whitney",Education,Medium,Australia,4/14/2025
1068,Coleman-Barnett,Consulting,Small,UK,2/25/2026
1069,Stanton LLC,Marketing,Startup,UAE,4/30/2024
1070,Chen-White,Logistics,Small,South Africa,6/4/2024
1071,Kemp PLC,Consulting,Startup,Germany,4/13/2025
1072,Gregory Inc,Retail,Enterprise,Singapore,11/9/2024
1073,"Rivera, Perry and Stewart",Healthcare,Startup,South Africa,4/25/2023
1074,Cook-Thomas,Retail,Startup,Canada,9/4/2024
1075,"Garcia, Diaz and Pugh",Consulting,Large,Australia,4/25/2023
1076,Lopez PLC,Media,Enterprise,USA,12/2/2022
1077,Smith Inc,Logistics,Large,Australia,6/19/2024
1078,Graves Ltd,Logistics,Startup,South Africa,11/2/2022
1079,"Hinton, Romero and Cooper",Technology,Startup,Mexico,7/23/2022
1080,"Parrish, Patterson and Rangel",Logistics,Small,Singapore,11/3/2023
1081,Cross-Obrien,Marketing,Startup,USA,2/19/2024
1082,Hunter PLC,Logistics,Startup,Japan,9/21/2022
1083,Rodriguez-Gill,Consulting,Small,Pakistan,8/17/2025
1084,"Knight, Bishop and Huynh",Technology,Enterprise,France,3/31/2023
1085,Barnett Ltd,Consulting,Small,Australia,3/18/2023
1086,Michael LLC,Consulting,Medium,Canada,2/6/2023
1087,Maldonado Inc,Finance,Medium,Canada,1/21/2024
1088,Allen PLC,Technology,Small,Mexico,7/6/2023
1089,"Gray, Stewart and Phillips",Consulting,Medium,UAE,8/5/2025
1090,Stewart-Kennedy,Finance,Startup,UK,5/5/2024
1091,"Wilson, Mccall and Wallace",Finance,Startup,Australia,3/2/2025
1092,Martin-Murphy,Technology,Medium,Singapore,8/31/2024
1093,"White, Evans and Robinson",Retail,Startup,France,4/22/2024
1094,"Klein, Dillon and Luna",Media,Enterprise,Japan,11/27/2023
1095,"Lane, Peterson and Lee",Marketing,Startup,Mexico,5/22/2023
1096,Scott-Mendez,Media,Medium,Germany,8/5/2023
1097,Sanchez-Pruitt,Logistics,Small,Singapore,4/28/2023
1098,Watson-Brooks,Marketing,Startup,Canada,1/29/2024
1099,Reyes-Jones,Logistics,Startup,Pakistan,7/20/2025
1100,"Rollins, Mcpherson and Kline",Consulting,Medium,Singapore,3/12/2024
1101,"Jenkins, Swanson and Smith",Healthcare,Large,India,9/5/2022
1102,"Gilbert, Palmer and Bryant",Technology,Large,Brazil,12/17/2023
1103,Navarro Inc,Marketing,Small,Canada,8/10/2025
1104,Garcia-Summers,Marketing,Large,Australia,5/1/2025
1105,"Romero, Lopez and Nelson",Consulting,Medium,Japan,12/30/2025
1106,Moore-Peterson,Retail,Medium,Pakistan,5/14/2025
1107,"Caldwell, Vasquez and Gay",Finance,Small,India,7/11/2025
1108,Walker Group,Consulting,Medium,Netherlands,2/12/2023
1109,Taylor Inc,Manufacturing,Large,USA,4/6/2025
1110,Harper-Thompson,Finance,Small,France,3/17/2025
1111,Ruiz PLC,Technology,Large,Canada,11/18/2025
1112,Ortega PLC,Finance,Medium,Australia,5/25/2026
1113,Evans-Sutton,Retail,Startup,India,5/7/2023
1114,"Gutierrez, Murray and Zimmerman",Finance,Startup,Japan,1/8/2026
1115,Johnson-Zhang,Technology,Small,Japan,7/28/2022
1116,"Morales, Evans and Williams",Retail,Small,India,12/16/2022
1117,"Kim, Mcgee and Cox",Media,Large,UK,9/19/2022
1118,Anderson PLC,Marketing,Startup,India,6/8/2026
1119,Parks-Miller,Marketing,Large,Netherlands,11/22/2023
1120,"Martinez, Ford and Alvarez",Logistics,Large,France,5/23/2025
1121,"Wang, Salinas and Rivera",Media,Startup,Pakistan,1/9/2024
1122,Daniels-Kelly,Media,Large,Netherlands,1/27/2024
1123,Taylor-Martin,Finance,Enterprise,Mexico,8/22/2025
1124,"Carter, Coleman and Hatfield",Marketing,Medium,Pakistan,11/19/2024
1125,Miller PLC,Technology,Large,India,3/13/2025
1126,"Beck, Greer and Wheeler",Education,Enterprise,Australia,5/10/2024
1127,Hahn and Sons,Education,Medium,Canada,1/21/2023
1128,Leonard LLC,Retail,Small,Australia,3/7/2025
1129,Jones-Solomon,Marketing,Large,South Africa,3/13/2025
1130,"Harrison, Ballard and Beltran",Marketing,Medium,Mexico,7/26/2023
1131,Clark-Woods,Education,Medium,Netherlands,7/16/2022
1132,"Combs, Garcia and Mccarthy",Marketing,Small,Brazil,12/3/2025
1133,Liu-Martin,Finance,Large,UAE,1/7/2025
1134,"Pham, Smith and Smith",Manufacturing,Startup,Netherlands,11/4/2022
1135,Ashley and Sons,Healthcare,Enterprise,Canada,10/4/2024
1136,"Johnson, Garcia and Stokes",Media,Small,USA,5/31/2023
1137,Hooper-Carter,Logistics,Startup,Brazil,6/30/2023
1138,"Brown, Howard and Lopez",Retail,Small,South Africa,11/19/2022
1139,Stevenson Inc,Manufacturing,Startup,France,6/12/2024
1140,Hays PLC,Education,Medium,Brazil,6/8/2025
1141,"Hopkins, Barrett and Russell",Media,Enterprise,Australia,11/20/2022
1142,"Jones, Miller and Davis",Marketing,Large,UK,1/26/2023
1143,Martin-Khan,Logistics,Startup,Pakistan,7/7/2024
1144,Brandt Inc,Marketing,Startup,India,10/7/2023
1145,Wilkinson Inc,Technology,Large,Canada,1/28/2025
1146,Thompson-Martinez,Technology,Enterprise,Mexico,7/14/2023
1147,Ramirez Group,Logistics,Small,India,12/11/2022
1148,Powers Ltd,Logistics,Small,Netherlands,1/31/2026
1149,Bentley Inc,Education,Small,Netherlands,12/5/2022
1150,"Garcia, Henry and Hernandez",Logistics,Large,USA,7/14/2022
1151,Larson Ltd,Finance,Medium,UAE,8/26/2025
1152,Ruiz-Silva,Marketing,Small,South Africa,4/17/2026
1153,Vasquez Inc,Manufacturing,Small,India,10/31/2025
1154,Burke-Ingram,Consulting,Large,Australia,2/2/2026
1155,Torres PLC,Logistics,Startup,South Africa,6/14/2025
1156,Price-Dillon,Retail,Small,Canada,10/19/2022
1157,"Harris, Jennings and Smith",Technology,Medium,UK,11/18/2024
1158,Zhang-Gutierrez,Finance,Startup,USA,7/6/2022
1159,"Bryan, Miller and Jimenez",Media,Startup,Netherlands,12/6/2024
1160,Nelson-Wilson,Consulting,Large,Singapore,7/27/2024
1161,"Jones, Salinas and Coleman",Manufacturing,Large,South Africa,1/6/2023
1162,Cervantes and Sons,Consulting,Large,France,6/19/2023
