account_id,customer_id,active_users,last_login
1,1001,22,2026-06-11
2,1002,322,2026-05-20
3,1003,289,2026-06-01
4,1004,481,2026-05-29
5,1005,207,2026-04-28
6,1006,399,2026-05-24
7,1007,371,2026-06-19
8,1008,136,2026-06-12
9,1009,481,2026-06-09
10,1010,128,2026-06-16
11,1011,380,2026-06-26
12,1012,8,2026-05-12
13,1013,330,2026-05-05
14,1014,219,2026-06-11
15,1015,419,2026-06-17
16,1016,9,2026-06-05
17,1017,438,2026-05-02
18,1018,183,2026-05-21
19,1019,307,2026-06-09
20,1020,68,2026-05-18
21,1021,181,2026-05-11
22,1022,22,2026-06-07
23,1023,211,2026-06-23
24,1024,26,2026-06-17
25,1025,77,2026-05-23
26,1026,106,2026-06-05
27,1027,291,2026-05-26
28,1028,442,2026-05-29
29,1029,236,2026-05-17
30,1030,278,2026-05-30
31,1031,113,2026-05-27
32,1032,221,2026-06-06
33,1033,113,2026-05-01
34,1034,31,2026-06-01
35,1035,351,2026-05-10
36,1036,299,2026-06-08
37,1037,197,2026-05-25
38,1038,23,2026-06-24
39,1039,43,2026-06-06
40,1040,133,2026-05-23
41,1041,230,2026-05-04
42,1042,394,2026-06-16
43,1043,327,2026-05-26
44,1044,76,2026-06-15
45,1045,126,2026-05-16
46,1046,169,2026-06-05
47,1047,339,2026-05-08
48,1048,44,2026-06-14
49,1049,255,2026-05-23
50,1050,369,2026-05-02
51,1051,394,2026-05-31
52,1052,6,2026-05-14
53,1053,251,2026-05-08
54,1054,249,2026-06-08
55,1055,400,2026-06-22
56,1056,496,2026-05-27
57,1057,274,2026-05-18
58,1058,55,2026-05-26
59,1059,404,2026-05-28
60,1060,322,2026-05-07
61,1061,408,2026-06-05
62,1062,154,2026-05-09
63,1063,106,2026-06-19
64,1064,451,2026-05-21
65,1065,106,2026-05-06
66,1066,307,2026-06-01
67,1067,70,2026-05-31
68,1068,283,2026-06-10
69,1069,8,2026-05-18
70,1070,383,2026-06-20
71,1071,114,2026-05-31
72,1072,406,2026-06-16
73,1073,291,2026-05-20
74,1074,371,2026-05-18
75,1075,213,2026-05-05
76,1076,404,2026-06-11
77,1077,492,2026-06-14
78,1078,224,2026-06-11
79,1079,188,2026-05-12
80,1080,40,2026-06-19
81,1081,103,2026-05-07
82,1082,185,2026-04-30
83,1083,175,2026-04-30
84,1084,32,2026-05-24
85,1085,329,2026-05-05
86,1086,28,2026-05-08
87,1087,172,2026-06-19
88,1088,28,2026-05-16
89,1089,377,2026-06-11
90,1090,253,2026-04-29
91,1091,412,2026-05-31
92,1092,463,2026-04-30
93,1093,250,2026-06-15
94,1094,304,2026-06-12
95,1095,111,2026-04-30
96,1096,247,2026-05-28
97,1097,358,2026-05-23
98,1098,300,2026-06-18
99,1099,161,2026-06-26
100,1100,271,2026-06-13
101,1101,412,2026-05-31
102,1102,353,2026-06-17
103,1103,178,2026-06-22
104,1104,482,2026-05-18
105,1105,430,2026-05-31
106,1106,110,2026-06-23
107,1107,200,2026-05-09
108,1108,295,2026-06-16
109,1109,266,2026-05-26
110,1110,382,2026-06-08
111,1111,454,2026-06-05
112,1112,142,2026-05-05
113,1113,485,2026-05-11
114,1114,42,2026-06-18
115,1115,139,2026-06-08
116,1116,44,2026-06-07
117,1117,306,2026-06-07
118,1118,126,2026-05-07
119,1119,454,2026-05-29
120,1120,170,2026-06-04
121,1121,123,2026-05-09
122,1122,229,2026-04-28
123,1123,231,2026-05-11
124,1124,26,2026-05-14
125,1125,192,2026-06-25
126,1126,46,2026-05-18
127,1127,170,2026-06-07
128,1128,276,2026-06-17
129,1129,433,2026-05-26
130,1130,82,2026-05-04
131,1131,463,2026-05-15
132,1132,381,2026-05-28
133,1133,180,2026-06-08
134,1134,334,2026-05-11
135,1135,336,2026-06-09
136,1136,312,2026-06-18
137,1137,31,2026-05-06
138,1138,378,2026-06-13
139,1139,294,2026-05-09
140,1140,139,2026-05-10
141,1141,235,2026-05-31
142,1142,111,2026-05-26
143,1143,159,2026-06-14
144,1144,234,2026-05-01
145,1145,43,2026-06-18
146,1146,282,2026-04-29
147,1147,236,2026-06-26
148,1148,443,2026-05-13
149,1149,86,2026-06-05
150,1150,217,2026-06-05
151,1151,203,2026-06-05
152,1152,5,2026-05-19
153,1153,390,2026-04-29
154,1154,468,2026-04-29
