usage_id,customer_id,feature_name,usage_date,usage_count
1,4868,Dashboard,2024-08-10,28
2,5496,API,2025-10-31,13
3,5889,Automation,2025-12-27,46
4,1406,Automation,2024-09-10,11
5,3667,Automation,2024-08-29,12
6,1215,Dashboard,2025-09-02,33
7,1127,Dashboard,2025-05-02,15
8,1229,Integrations,2024-11-08,34
9,4328,Collaboration,2026-04-26,36
10,4091,API,2024-12-29,19
11,3621,Dashboard,2026-03-29,26
12,5106,Reports,2026-04-19,12
13,3810,Automation,2025-05-04,44
14,1856,Collaboration,2026-05-13,35
15,5341,Automation,2026-06-18,9
16,4712,Automation,2025-11-01,36
17,5870,Reports,2024-09-09,48
18,3103,Collaboration,2026-04-01,42
19,5055,API,2026-04-09,24
20,4503,Automation,2025-05-24,23
21,5435,API,2024-12-17,47
22,4705,Reports,2024-10-14,27
23,5459,Automation,2026-02-02,49
24,2933,Integrations,2024-11-28,47
25,1096,Collaboration,2024-12-03,23
26,3234,Reports,2026-04-22,14
27,2627,Integrations,2024-11-21,45
28,4245,Collaboration,2025-03-29,13
29,5798,Dashboard,2025-06-22,34
30,5512,Integrations,2024-06-30,47
31,4093,Automation,2025-11-24,34
32,3063,Integrations,2025-05-06,21
33,4883,Dashboard,2024-09-01,45
34,1335,Integrations,2024-09-08,24
35,1305,Dashboard,2025-08-22,32
36,5431,Automation,2026-06-08,11
37,3956,API,2026-04-12,42
38,3331,Integrations,2025-12-26,2
39,1265,Reports,2026-06-13,7
40,2942,Reports,2025-06-10,32
41,1751,Integrations,2026-04-16,19
42,2820,Integrations,2024-09-21,19
43,2700,API,2025-03-28,19
44,4537,Automation,2025-07-22,28
45,1135,Dashboard,2025-11-13,17
46,3712,Integrations,2025-09-25,31
47,2555,API,2025-04-30,5
48,1079,Collaboration,2025-08-06,44
49,2010,Collaboration,2025-09-26,38
50,3925,Integrations,2026-04-17,37
51,1015,Automation,2025-05-11,16
52,5409,Integrations,2025-06-29,15
53,4590,Dashboard,2025-04-30,11
54,4091,Dashboard,2026-03-07,14
55,4402,Automation,2025-06-08,2
56,3123,Collaboration,2026-03-01,8
57,2862,Reports,2025-09-14,26
58,1092,Automation,2024-09-17,49
59,1593,API,2024-09-14,13
60,3305,API,2026-05-27,7
61,5212,API,2026-06-23,46
62,1806,Reports,2024-12-05,35
63,1703,Reports,2025-09-05,18
64,3617,Automation,2024-11-19,20
65,1536,Integrations,2025-04-06,27
66,1906,API,2026-04-11,7
67,4851,Integrations,2025-08-25,25
68,5215,API,2024-09-21,3
69,3793,API,2024-10-09,2
70,3520,Collaboration,2025-12-02,5
71,5229,Reports,2025-07-14,35
72,4575,Automation,2024-10-02,2
73,3752,Automation,2025-10-17,45
74,1492,Dashboard,2026-01-25,23
75,2489,Collaboration,2024-09-05,39
76,4820,Reports,2024-08-05,13
77,1583,API,2024-10-31,25
78,4523,Automation,2025-09-20,48
79,5160,Integrations,2026-01-30,14
80,1841,Collaboration,2026-05-25,13
81,3531,Collaboration,2025-07-25,34
82,5457,Reports,2026-05-17,36
83,5293,Automation,2025-10-22,33
84,1858,Collaboration,2024-08-11,14
85,1610,API,2025-02-10,9
86,5585,Automation,2024-08-10,35
87,5063,API,2024-10-25,15
88,4137,Reports,2025-02-19,8
89,3651,Collaboration,2024-07-13,2
90,3140,Collaboration,2024-07-17,2
91,1868,API,2025-09-04,49
92,5717,Dashboard,2026-03-28,39
93,2155,Integrations,2024-09-05,12
94,2842,Reports,2024-10-03,46
95,4010,Automation,2024-11-12,28
96,2210,Automation,2026-04-25,12
97,5830,Dashboard,2025-09-15,21
98,5958,Collaboration,2025-07-25,25
99,2449,Dashboard,2025-07-01,4
100,3263,Dashboard,2026-01-15,46
101,5830,Integrations,2024-10-20,35
102,4523,Integrations,2026-01-24,46
103,3615,Dashboard,2025-09-03,18
104,4833,Automation,2024-07-22,31
105,4356,Integrations,2025-02-27,43
106,3724,Integrations,2026-05-28,36
107,2386,Collaboration,2025-01-20,38
108,5342,Automation,2026-02-12,41
109,3869,Automation,2026-02-14,4
110,4080,Automation,2024-11-04,19
111,1597,Automation,2026-02-05,21
112,5464,Integrations,2025-03-03,9
113,2971,Automation,2025-08-08,4
114,1703,Automation,2024-09-11,39
115,5643,API,2025-01-27,16
116,2347,Integrations,2024-09-11,36
117,5793,Collaboration,2025-01-23,15
118,2328,API,2025-09-17,17
119,2718,Integrations,2024-11-11,46
120,3171,Automation,2025-03-22,17
121,3322,API,2025-05-31,23
122,1190,Integrations,2025-09-21,18
