payment_id,customer_id,payment_date,amount,payment_status
1,1001,2024-11-23,29.0,Paid
2,1001,2024-12-23,29.0,Paid
3,1001,2025-01-22,29.0,Paid
4,1001,2025-02-21,29.0,Failed
5,1001,2025-03-23,29.0,Paid
6,1001,2025-04-22,29.0,Paid
7,1001,2025-05-22,29.0,Paid
8,1001,2025-06-21,29.0,Paid
9,1001,2025-07-21,29.0,Paid
10,1001,2025-08-20,29.0,Paid
11,1001,2025-09-19,29.0,Paid
12,1001,2025-10-19,29.0,Paid
13,1001,2025-11-18,29.0,Paid
14,1001,2025-12-18,29.0,Paid
15,1001,2026-01-17,29.0,Paid
16,1002,2025-08-29,99.0,Paid
17,1002,2025-09-28,99.0,Paid
18,1002,2025-10-28,99.0,Paid
19,1002,2025-11-27,99.0,Paid
20,1002,2025-12-27,99.0,Paid
21,1002,2026-01-26,99.0,Paid
22,1002,2026-02-25,99.0,Paid
23,1002,2026-03-27,99.0,Paid
24,1003,2026-12-09,313.2,Paid
25,1003,2027-01-08,313.2,Failed
26,1003,2027-02-07,313.2,Paid
27,1004,2024-09-28,29.0,Paid
28,1004,2024-10-28,29.0,Paid
29,1004,2024-11-27,29.0,Paid
30,1004,2024-12-27,29.0,Paid
31,1004,2025-01-26,29.0,Failed
32,1004,2025-02-25,29.0,Paid
33,1004,2025-03-27,29.0,Paid
34,1004,2025-04-26,29.0,Paid
35,1004,2025-05-26,29.0,Paid
36,1004,2025-06-25,29.0,Paid
37,1004,2025-07-25,29.0,Failed
38,1004,2025-08-24,29.0,Paid
39,1004,2025-09-23,29.0,Paid
40,1004,2025-10-23,29.0,Paid
41,1005,2026-12-10,313.2,Paid
42,1005,2027-01-09,313.2,Paid
43,1005,2027-02-08,313.2,Paid
44,1005,2027-03-10,313.2,Paid
45,1005,2027-04-09,313.2,Paid
46,1005,2027-05-09,313.2,Paid
47,1005,2027-06-08,313.2,Paid
48,1006,2023-02-04,313.2,Paid
49,1006,2023-03-06,313.2,Paid
50,1006,2023-04-05,313.2,Paid
51,1006,2023-05-05,313.2,Paid
52,1006,2023-06-04,313.2,Paid
53,1006,2023-07-04,313.2,Paid
54,1007,2024-01-12,29.0,Paid
55,1007,2024-02-11,29.0,Paid
56,1007,2024-03-12,29.0,Paid
57,1007,2024-04-11,29.0,Paid
58,1007,2024-05-11,29.0,Paid
59,1007,2024-06-10,29.0,Paid
60,1007,2024-07-10,29.0,Paid
61,1007,2024-08-09,29.0,Paid
62,1008,2025-12-11,99.0,Failed
63,1008,2026-01-10,99.0,Paid
64,1008,2026-02-09,99.0,Paid
65,1008,2026-03-11,99.0,Paid
66,1008,2026-04-10,99.0,Paid
67,1008,2026-05-10,99.0,Paid
68,1008,2026-06-09,99.0,Paid
69,1008,2026-07-09,99.0,Paid
70,1008,2026-08-08,99.0,Paid
71,1008,2026-09-07,99.0,Paid
72,1008,2026-10-07,99.0,Paid
73,1008,2026-11-06,99.0,Paid
74,1008,2026-12-06,99.0,Paid
75,1008,2027-01-05,99.0,Paid
76,1008,2027-02-04,99.0,Paid
77,1008,2027-03-06,99.0,Paid
78,1008,2027-04-05,99.0,Paid
79,1008,2027-05-05,99.0,Paid
80,1009,2026-01-13,313.2,Paid
81,1009,2026-02-12,313.2,Paid
82,1009,2026-03-14,313.2,Paid
83,1009,2026-04-13,313.2,Paid
84,1010,2023-08-17,99.0,Paid
85,1010,2023-09-16,99.0,Paid
86,1010,2023-10-16,99.0,Paid
87,1010,2023-11-15,99.0,Paid
88,1010,2023-12-15,99.0,Paid
89,1010,2024-01-14,99.0,Paid
90,1011,2023-05-19,29.0,Paid
91,1011,2023-06-18,29.0,Paid
92,1011,2023-07-18,29.0,Refunded
93,1011,2023-08-17,29.0,Paid
94,1011,2023-09-16,29.0,Paid
95,1011,2023-10-16,29.0,Paid
96,1011,2023-11-15,29.0,Paid
97,1011,2023-12-15,29.0,Paid
98,1011,2024-01-14,29.0,Paid
99,1011,2024-02-13,29.0,Paid
100,1011,2024-03-14,29.0,Paid
101,1011,2024-04-13,29.0,Paid
102,1011,2024-05-13,29.0,Paid
103,1011,2024-06-12,29.0,Paid
104,1011,2024-07-12,29.0,Paid
105,1011,2024-08-11,29.0,Refunded
106,1011,2022-10-13,313.2,Failed
107,1011,2022-11-12,313.2,Paid
108,1011,2022-12-12,313.2,Paid
109,1011,2023-01-11,313.2,Paid
110,1011,2023-02-10,313.2,Paid
111,1011,2023-03-12,313.2,Paid
112,1011,2023-04-11,313.2,Paid
113,1011,2023-05-11,313.2,Paid
114,1011,2023-06-10,313.2,Failed
115,1011,2023-07-10,313.2,Paid
116,1011,2023-08-09,313.2,Paid
117,1011,2023-09-08,313.2,Paid
118,1011,2023-10-08,313.2,Paid
119,1011,2023-11-07,313.2,Failed
120,1011,2023-12-07,313.2,Paid
121,1012,2026-01-10,99.0,Paid
122,1012,2026-02-09,99.0,Failed
123,1012,2026-03-11,99.0,Paid
124,1013,2026-09-11,499.0,Refunded
125,1013,2026-10-11,499.0,Paid
126,1013,2026-11-10,499.0,Paid
127,1013,2026-12-10,499.0,Paid
128,1013,2027-01-09,499.0,Failed
129,1013,2027-02-08,499.0,Paid
130,1013,2027-03-10,499.0,Paid
131,1013,2027-04-09,499.0,Paid
132,1013,2027-05-09,499.0,Paid
133,1013,2027-06-08,499.0,Paid
134,1013,2026-09-03,99.0,Paid
135,1013,2026-10-03,99.0,Paid
136,1013,2026-11-02,99.0,Paid
137,1013,2026-12-02,99.0,Paid
138,1013,2027-01-01,99.0,Paid
139,1013,2027-01-31,99.0,Paid
140,1013,2027-03-02,99.0,Paid
141,1014,2025-06-14,29.0,Paid
142,1014,2025-07-14,29.0,Paid
143,1014,2025-08-13,29.0,Paid
144,1014,2025-09-12,29.0,Paid
145,1014,2025-10-12,29.0,Paid
146,1014,2025-11-11,29.0,Paid
147,1015,2026-07-05,29.0,Paid
148,1015,2026-08-04,29.0,Paid
149,1015,2026-09-03,29.0,Paid
150,1015,2026-10-03,29.0,Paid
151,1015,2026-11-02,29.0,Paid
152,1015,2026-12-02,29.0,Paid
153,1015,2027-01-01,29.0,Paid
154,1016,2024-08-09,29.0,Paid
155,1016,2024-09-08,29.0,Paid
156,1016,2024-10-08,29.0,Paid
157,1016,2024-11-07,29.0,Paid
158,1016,2024-12-07,29.0,Paid
159,1016,2025-01-06,29.0,Paid
160,1016,2025-02-05,29.0,Paid
161,1017,2023-10-24,29.0,Paid
162,1017,2023-11-23,29.0,Paid
163,1017,2023-12-23,29.0,Paid
164,1017,2024-01-22,29.0,Paid
165,1017,2024-02-21,29.0,Failed
166,1017,2024-03-22,29.0,Paid
167,1017,2024-04-21,29.0,Paid
168,1017,2024-05-21,29.0,Paid
169,1017,2024-06-20,29.0,Paid
170,1017,2024-07-20,29.0,Paid
171,1017,2024-08-19,29.0,Paid
172,1017,2024-09-18,29.0,Paid
173,1018,2025-06-07,29.0,Paid
174,1018,2025-07-07,29.0,Paid
175,1018,2025-08-06,29.0,Paid
176,1018,2025-09-05,29.0,Paid
177,1018,2025-10-05,29.0,Paid
178,1018,2025-11-04,29.0,Paid
179,1018,2025-12-04,29.0,Paid
180,1018,2026-01-03,29.0,Paid
181,1018,2026-02-02,29.0,Paid
182,1018,2026-03-04,29.0,Paid
183,1018,2026-04-03,29.0,Paid
184,1018,2026-05-03,29.0,Paid
185,1018,2026-06-02,29.0,Paid
186,1018,2026-07-02,29.0,Paid
187,1018,2026-08-01,29.0,Failed
188,1018,2026-08-31,29.0,Paid
189,1018,2025-10-18,99.0,Paid
190,1018,2025-11-17,99.0,Paid
191,1018,2025-12-17,99.0,Paid
192,1019,2023-07-08,313.2,Paid
193,1019,2023-08-07,313.2,Paid
194,1019,2023-09-06,313.2,Paid
195,1019,2023-10-06,313.2,Paid
196,1019,2023-11-05,313.2,Paid
197,1019,2023-12-05,313.2,Refunded
198,1019,2024-01-04,313.2,Paid
199,1019,2024-02-03,313.2,Paid
200,1019,2024-03-04,313.2,Paid
201,1019,2024-04-03,313.2,Paid
202,1019,2024-05-03,313.2,Paid
203,1019,2024-06-02,313.2,Paid
204,1019,2024-07-02,313.2,Paid
205,1019,2024-08-01,313.2,Paid
206,1019,2024-08-31,313.2,Paid
207,1019,2024-09-30,313.2,Paid
208,1019,2024-10-30,313.2,Paid
209,1019,2023-08-22,313.2,Refunded
210,1019,2023-09-21,313.2,Paid
211,1019,2023-10-21,313.2,Paid
212,1020,2023-11-07,99.0,Paid
213,1020,2023-12-07,99.0,Paid
214,1020,2024-01-06,99.0,Paid
215,1020,2024-02-05,99.0,Paid
216,1020,2024-03-06,99.0,Paid
217,1020,2024-04-05,99.0,Paid
218,1020,2024-05-05,99.0,Paid
219,1020,2024-06-04,99.0,Paid
220,1020,2024-07-04,99.0,Paid
221,1020,2024-08-03,99.0,Paid
222,1020,2024-09-02,99.0,Refunded
223,1020,2024-10-02,99.0,Paid
224,1021,2025-09-22,313.2,Paid
225,1021,2025-10-22,313.2,Paid
226,1021,2025-11-21,313.2,Paid
227,1021,2025-12-21,313.2,Paid
228,1021,2026-01-20,313.2,Paid
229,1021,2026-02-19,313.2,Paid
230,1021,2026-03-21,313.2,Paid
231,1021,2026-04-20,313.2,Paid
232,1021,2026-05-20,313.2,Paid
233,1021,2026-06-19,313.2,Paid
234,1021,2026-07-19,313.2,Paid
235,1021,2026-08-18,313.2,Paid
236,1021,2026-09-17,313.2,Paid
237,1021,2026-10-17,313.2,Paid
238,1021,2026-11-16,313.2,Paid
239,1021,2026-12-16,313.2,Paid
240,1021,2027-01-15,313.2,Paid
241,1022,2025-09-30,313.2,Paid
242,1022,2025-10-30,313.2,Paid
243,1022,2025-11-29,313.2,Paid
244,1022,2025-12-29,313.2,Paid
245,1022,2026-01-28,313.2,Paid
246,1022,2026-02-27,313.2,Paid
247,1022,2026-03-29,313.2,Paid
248,1023,2026-02-16,99.0,Paid
249,1023,2026-03-18,99.0,Paid
250,1023,2026-04-17,99.0,Failed
251,1023,2026-05-17,99.0,Paid
252,1023,2026-06-16,99.0,Paid
253,1023,2026-07-16,99.0,Paid
254,1023,2026-08-15,99.0,Paid
255,1023,2026-09-14,99.0,Paid
256,1023,2026-10-14,99.0,Paid
257,1023,2026-11-13,99.0,Paid
258,1023,2026-12-13,99.0,Paid
259,1023,2027-01-12,99.0,Paid
260,1023,2027-02-11,99.0,Paid
261,1023,2027-03-13,99.0,Paid
262,1023,2027-04-12,99.0,Paid
263,1023,2027-05-12,99.0,Paid
264,1024,2026-06-18,29.0,Paid
265,1024,2026-07-18,29.0,Paid
266,1024,2026-08-17,29.0,Paid
267,1024,2026-09-16,29.0,Paid
268,1024,2026-10-16,29.0,Paid
269,1024,2026-11-15,29.0,Paid
270,1024,2026-12-15,29.0,Refunded
271,1024,2027-01-14,29.0,Failed
272,1024,2027-02-13,29.0,Paid
273,1024,2027-03-15,29.0,Paid
274,1024,2027-04-14,29.0,Paid
275,1024,2027-05-14,29.0,Paid
276,1024,2027-06-13,29.0,Paid
277,1024,2027-07-13,29.0,Paid
278,1024,2027-08-12,29.0,Failed
279,1025,2024-10-09,29.0,Paid
280,1025,2024-11-08,29.0,Paid
281,1025,2024-12-08,29.0,Paid
282,1026,2023-06-16,5389.2,Paid
283,1026,2023-07-16,5389.2,Paid
284,1026,2023-08-15,5389.2,Paid
285,1026,2023-09-14,5389.2,Paid
286,1026,2023-10-14,5389.2,Paid
287,1026,2023-11-13,5389.2,Paid
288,1026,2023-12-13,5389.2,Paid
289,1027,2026-09-15,313.2,Paid
290,1027,2026-10-15,313.2,Paid
291,1027,2026-11-14,313.2,Failed
292,1027,2026-12-14,313.2,Paid
293,1027,2027-01-13,313.2,Paid
294,1027,2027-02-12,313.2,Paid
295,1027,2027-03-14,313.2,Paid
296,1027,2027-04-13,313.2,Paid
297,1027,2027-05-13,313.2,Paid
298,1028,2023-05-23,1069.2,Failed
299,1028,2023-06-22,1069.2,Refunded
300,1028,2023-07-22,1069.2,Paid
301,1028,2023-08-21,1069.2,Refunded
302,1028,2023-09-20,1069.2,Failed
303,1028,2023-10-20,1069.2,Paid
304,1028,2023-02-18,313.2,Paid
305,1028,2023-03-20,313.2,Paid
306,1028,2023-04-19,313.2,Paid
307,1028,2023-05-19,313.2,Paid
308,1028,2023-06-18,313.2,Paid
