subscription_id,customer_id,plan_id,start_date,end_date,status,billing_cycle
1,1001,1,2024-11-23,,Active,Monthly
2,1002,2,2025-08-29,,Active,Monthly
3,1003,1,2026-12-09,2027-02-24,Churned,Annual
4,1004,1,2024-09-28,,Active,Monthly
5,1005,1,2026-12-10,,Active,Annual
6,1006,1,2023-02-04,,Active,Annual
7,1007,1,2024-01-12,2025-03-07,Churned,Monthly
8,1008,2,2025-12-11,,Active,Monthly
9,1009,1,2026-01-13,,Active,Annual
10,1010,2,2023-08-17,2024-02-13,Churned,Monthly
11,1011,1,2023-05-19,,Active,Monthly
12,1011,1,2022-10-13,,Paused,Annual
13,1012,2,2026-01-10,,Active,Monthly
14,1013,3,2026-09-11,,Active,Monthly
15,1013,2,2026-09-03,2027-04-02,Churned,Monthly
16,1014,1,2025-06-14,,Active,Monthly
17,1015,1,2026-07-05,2027-08-12,Churned,Monthly
18,1016,1,2024-08-09,,Active,Monthly
19,1017,1,2023-10-24,,Active,Monthly
20,1018,1,2025-06-07,,Paused,Monthly
21,1018,2,2025-10-18,,Active,Monthly
22,1019,1,2023-07-08,,Active,Annual
23,1019,1,2023-08-22,,Active,Annual
24,1020,2,2023-11-07,,Active,Monthly
25,1021,1,2025-09-22,,Active,Annual
26,1022,1,2025-09-30,,Active,Annual
27,1023,2,2026-02-16,,Active,Monthly
28,1024,1,2026-06-18,,Active,Monthly
29,1025,1,2024-10-09,,Active,Monthly
30,1026,3,2023-06-16,,Paused,Annual
31,1027,1,2026-09-15,,Active,Annual
32,1028,2,2023-05-23,2024-01-30,Churned,Annual
33,1028,1,2023-02-18,,Active,Annual
34,1029,2,2025-09-22,,Active,Monthly
35,1029,3,2026-01-25,,Active,Monthly
36,1030,1,2026-01-26,,Active,Annual
37,1031,1,2023-09-29,,Active,Annual
38,1032,2,2022-09-13,,Active,Monthly
39,1033,1,2024-11-25,,Active,Annual
40,1034,2,2024-11-08,,Active,Annual
41,1035,2,2025-02-06,,Active,Monthly
42,1036,1,2025-05-24,2026-02-21,Churned,Annual
43,1037,1,2023-02-16,,Active,Monthly
44,1037,2,2023-06-28,,Active,Annual
45,1038,2,2023-09-12,,Active,Monthly
46,1038,2,2023-09-02,,Active,Monthly
47,1039,2,2024-04-13,,Active,Annual
48,1040,1,2025-05-11,,Active,Annual
49,1041,3,2024-06-28,2024-08-31,Churned,Monthly
50,1042,1,2026-03-26,2026-08-24,Churned,Annual
51,1042,1,2026-02-27,,Active,Monthly
52,1043,1,2025-09-01,,Active,Monthly
53,1044,1,2026-04-20,2026-07-08,Churned,Monthly
54,1045,3,2026-04-05,,Active,Monthly
55,1046,2,2025-07-13,,Active,Monthly
56,1047,2,2023-04-03,,Active,Monthly
57,1048,2,2023-12-19,,Active,Monthly
58,1049,1,2025-03-07,,Active,Annual
59,1050,2,2025-10-14,2026-10-12,Churned,Monthly
60,1050,2,2025-10-09,,Active,Monthly
61,1051,2,2025-04-24,2026-01-27,Churned,Monthly
62,1051,2,2025-08-27,,Active,Annual
63,1052,2,2023-02-21,2023-10-08,Churned,Monthly
64,1053,1,2026-10-03,,Active,Monthly
65,1054,2,2026-02-09,,Active,Monthly
66,1055,1,2024-01-08,,Active,Monthly
67,1056,2,2024-01-09,2024-12-03,Churned,Monthly
68,1057,3,2023-05-28,2024-03-13,Churned,Monthly
69,1058,2,2023-11-05,2024-01-08,Churned,Monthly
70,1059,2,2026-05-16,,Active,Annual
71,1060,1,2026-02-25,,Active,Monthly
72,1061,2,2024-07-12,,Active,Monthly
73,1062,1,2026-01-17,,Active,Monthly
74,1063,2,2025-06-22,,Active,Annual
75,1064,1,2025-04-12,2026-03-26,Churned,Annual
76,1064,1,2025-12-19,,Active,Monthly
77,1065,1,2026-04-21,2026-11-15,Churned,Annual
78,1066,1,2026-08-12,,Active,Annual
79,1066,1,2027-01-12,,Active,Annual
80,1067,2,2026-03-14,,Active,Monthly
81,1067,2,2026-01-22,,Active,Monthly
82,1068,2,2026-05-04,,Active,Monthly
83,1068,1,2026-12-05,2027-05-28,Churned,Monthly
84,1069,1,2024-10-22,,Active,Monthly
85,1070,1,2025-02-09,,Active,Monthly
86,1071,2,2026-03-03,,Active,Monthly
87,1072,3,2025-01-14,,Active,Annual
88,1073,3,2024-02-01,,Active,Monthly
89,1074,1,2025-08-23,,Active,Annual
90,1075,3,2024-02-17,,Active,Annual
91,1075,1,2023-05-16,,Active,Monthly
92,1076,2,2022-12-22,,Active,Monthly
93,1076,2,2023-04-08,,Active,Annual
94,1077,2,2025-01-13,,Active,Monthly
95,1078,2,2023-03-03,,Active,Annual
96,1078,2,2023-01-31,,Paused,Annual
97,1079,2,2023-01-09,,Active,Monthly
98,1080,2,2024-03-09,,Active,Monthly
99,1081,1,2024-03-09,,Active,Monthly
100,1082,1,2023-05-14,,Active,Monthly
101,1082,1,2023-01-15,,Active,Annual
102,1083,1,2026-01-06,,Active,Monthly
103,1084,1,2024-02-22,,Active,Monthly
104,1085,1,2023-09-03,,Active,Monthly
105,1085,1,2023-07-29,2024-01-10,Churned,Annual
106,1086,3,2023-12-08,,Active,Annual
107,1087,1,2024-11-26,,Active,Monthly
108,1088,2,2023-10-11,,Active,Monthly
109,1088,1,2023-07-06,,Active,Monthly
110,1089,2,2026-07-14,2027-03-21,Churned,Monthly
111,1090,1,2025-04-10,,Active,Monthly
112,1091,2,2025-05-04,,Active,Annual
113,1092,2,2025-03-28,,Active,Monthly
114,1093,1,2024-07-29,,Active,Monthly
115,1094,1,2024-02-24,,Active,Annual
116,1095,3,2023-05-22,,Active,Monthly
117,1096,1,2024-06-10,,Active,Monthly
118,1096,1,2024-03-18,,Active,Annual
119,1097,2,2023-07-23,,Active,Annual
120,1097,2,2024-04-01,,Active,Monthly
121,1098,1,2024-05-28,,Active,Monthly
122,1098,2,2024-05-09,2024-07-01,Churned,Monthly
123,1099,2,2026-03-20,,Active,Monthly
124,1100,1,2025-01-28,,Active,Monthly
125,1101,1,2023-03-28,,Active,Monthly
126,1102,1,2024-02-09,,Active,Monthly
127,1103,2,2026-08-01,,Active,Monthly
128,1103,1,2025-12-15,,Active,Monthly
129,1104,2,2025-12-24,,Active,Monthly
130,1105,1,2026-08-13,,Active,Monthly
131,1106,2,2026-02-18,,Active,Monthly
132,1107,2,2026-02-26,,Active,Annual
133,1107,3,2026-06-02,,Active,Monthly
134,1108,1,2023-06-14,,Active,Monthly
135,1109,2,2025-08-23,,Active,Monthly
136,1110,1,2025-06-02,,Active,Monthly
137,1111,1,2025-12-20,,Active,Monthly
138,1112,1,2026-06-25,,Active,Monthly
139,1113,1,2024-03-01,,Paused,Monthly
140,1113,2,2024-02-25,,Paused,Annual
141,1114,1,2026-07-26,,Active,Monthly
142,1115,2,2023-05-03,,Active,Monthly
143,1116,1,2023-05-04,,Paused,Monthly
144,1117,1,2023-09-01,,Active,Monthly
