ticket_id,customer_id,created_date,priority,status
1,4591,2024-04-21,High,Open
2,3429,2024-04-11,Low,In Progress
3,1265,2024-06-23,Medium,Closed
4,4260,2023-12-22,Low,Closed
5,1843,2024-06-21,Low,Closed
6,1665,2023-10-02,Low,In Progress
7,3052,2023-07-09,Medium,In Progress
8,5167,2024-08-15,Low,Closed
9,1548,2025-07-10,Medium,Closed
10,4292,2025-06-14,Medium,Open
11,2467,2024-11-23,Medium,Closed
12,1596,2024-05-06,Medium,Closed
13,4500,2026-06-11,Medium,Closed
14,2522,2025-04-21,High,In Progress
15,1586,2024-04-26,High,Closed
16,1429,2026-01-27,Low,Open
17,2106,2024-05-21,Low,Closed
18,1045,2023-09-11,Medium,Closed
19,4855,2025-06-02,Low,Closed
20,4389,2023-09-06,Medium,Closed
21,3971,2025-10-29,Low,Closed
22,3067,2025-04-27,High,Closed
23,5457,2023-12-30,High,In Progress
24,3112,2024-12-24,Medium,In Progress
25,1214,2025-12-05,High,Closed
26,1612,2025-09-17,Medium,Closed
27,1440,2024-03-14,Low,Closed
28,5221,2024-02-24,High,In Progress
29,3488,2025-02-26,Low,Closed
30,1528,2024-04-30,Low,Closed
31,2198,2026-01-18,High,In Progress
32,1542,2026-04-20,Critical,Closed
33,4160,2023-12-02,Low,Closed
34,5707,2024-11-20,Low,Closed
35,3459,2025-04-29,Medium,Closed
36,4528,2025-04-15,High,Closed
37,1483,2023-11-05,Critical,Closed
38,1892,2024-12-20,High,Closed
39,3115,2023-06-27,Medium,Closed
40,4728,2024-03-30,Medium,Closed
41,1681,2024-06-11,Low,Open
42,4840,2025-02-27,Low,Open
43,3206,2024-10-15,Low,Closed
44,1223,2026-05-10,Critical,Closed
45,4454,2024-08-11,Critical,Closed
46,4856,2024-07-11,Low,Closed
47,5182,2024-11-12,Low,Closed
48,3200,2023-10-09,Low,Open
49,1909,2023-11-27,Medium,Closed
50,1674,2023-08-07,Low,Closed
51,3531,2025-02-04,Low,Closed
52,3451,2023-12-16,Medium,Closed
53,1600,2024-02-05,Low,Closed
54,5920,2025-04-16,Medium,Open
55,3791,2025-01-17,Low,In Progress
56,4901,2025-07-05,High,Closed
57,3338,2025-07-31,High,Closed
58,4410,2025-03-20,Low,In Progress
59,1727,2024-04-06,Low,In Progress
60,3271,2023-11-27,Low,In Progress
61,3106,2024-05-01,Low,Closed
62,2174,2026-05-09,Low,Closed
63,2621,2024-08-26,Medium,Closed
64,4722,2024-11-12,Low,Closed
65,2520,2024-07-18,Critical,Closed
66,3229,2023-12-09,Low,Closed
67,2060,2025-02-03,Low,Closed
68,1628,2024-11-25,High,Open
69,2800,2024-01-11,Low,Closed
70,2243,2025-01-28,Low,Closed
71,5739,2024-05-01,Medium,In Progress
72,4547,2025-07-10,Medium,Closed
73,5237,2025-02-19,Critical,Closed
74,1840,2024-09-16,Low,Open
75,1815,2023-09-18,Medium,Closed
76,2256,2023-07-26,High,In Progress
